feature,increment,mean,std
simple_sugars,-50,169.22643208895997,21.636132349509367
simple_sugars,-40,169.24165355061675,21.641701491245612
simple_sugars,-30,169.2621385432639,21.65170838810967
simple_sugars,-20,169.3382334688538,21.663659220024144
simple_sugars,-10,169.4248444186709,21.69164268748584
simple_sugars,0,169.6004378429298,21.729284002370537
simple_sugars,10,169.78381917261666,21.729246421250004
simple_sugars,20,169.90001522382872,21.751901171910518
simple_sugars,30,169.91842918407698,21.752289294129305
simple_sugars,40,169.93771691603465,21.753170392249658
simple_sugars,50,169.94287197501572,21.756729257465086
complex_sugars,-50,169.11592748746153,21.545828727218346
complex_sugars,-40,169.13307074886106,21.552750700355734
complex_sugars,-30,169.1899766172301,21.581558078576585
complex_sugars,-20,169.29713303176752,21.63157226228751
complex_sugars,-10,169.42474734266384,21.676589727536555
complex_sugars,0,169.6004378429298,21.729284002370537
complex_sugars,10,169.84965506573576,21.744856885739797
complex_sugars,20,170.11745114869493,21.759613949857933
complex_sugars,30,170.40971694456982,21.797736833869337
complex_sugars,40,170.62314933850644,21.8228611342302
complex_sugars,50,170.80836900513194,21.83563967371137
fats,-50,169.66186631486724,21.711496550448295
fats,-40,169.66186631486724,21.711496550448295
fats,-30,169.66186631486724,21.711496550448295
fats,-20,169.65336510269992,21.709679883264357
fats,-10,169.6231685360656,21.700970664975536
fats,0,169.6004378429298,21.729284002370537
fats,10,169.4484026805737,21.720115986721172
fats,20,169.14532134660416,21.72856642414315
fats,30,168.87589639479054,21.624316559893355
fats,40,168.45747396128425,21.63130371178914
fats,50,168.21523005544336,21.708440858768878
dietary_fibers,-50,169.7861939014323,21.728078108993813
dietary_fibers,-40,169.7861939014323,21.728078108993813
dietary_fibers,-30,169.7861939014323,21.728078108993813
dietary_fibers,-20,169.7861939014323,21.728078108993813
dietary_fibers,-10,169.76693065031967,21.72196370872635
dietary_fibers,0,169.6004378429298,21.729284002370537
dietary_fibers,10,169.19520768692135,21.79414804396811
dietary_fibers,20,168.87412726052318,21.775439514324024
dietary_fibers,30,168.89931788453208,21.817020459417034
dietary_fibers,40,169.12147580302738,21.93969826533417
dietary_fibers,50,169.30782090774227,22.017913080427487
proteins,-50,169.59301552546142,21.736412945072264
proteins,-40,169.59301552546142,21.736412945072264
proteins,-30,169.59301552546142,21.736412945072264
proteins,-20,169.61522361970887,21.733152816550785
proteins,-10,169.62178137256095,21.736608199710968
proteins,0,169.6004378429298,21.729284002370537
proteins,10,169.3223370465969,21.77496826756487
proteins,20,168.91720635733682,21.66925192687007
proteins,30,168.47748778377021,21.555157253615192
proteins,40,167.91691706239683,21.54137278333777
proteins,50,166.78935797797172,22.104598402165593
