dataset,horizon,macro_mean,macro_std,base_mean,base_std,p_value,improvement_pct
D1namo,6,15.064661596192865,11.166491651821003,15.177860070797067,11.421591377115789,0.5750259034242426,0.7458131388495349
AZT1D,6,16.614144403014688,10.957668884274781,16.77732417406306,10.992423857166939,9.109111547379936e-09,0.9726209576413932
D1namo,9,22.46330093819817,16.60837640804658,23.151019649978725,17.360583576016396,0.05696383908785102,2.970576338227015
AZT1D,9,21.207261573076597,14.226262505836141,21.65168876394024,14.334764134007651,3.3978727556917636e-21,2.0526213715200483
D1namo,12,28.14927138215316,21.467051531104616,29.97128678230778,21.95830438886876,0.001546833944063053,6.079203116598134
AZT1D,12,24.584960879353748,16.888387273228535,25.1955594654401,17.101787043883046,1.8688359366585582e-22,2.4234373002270027
D1namo,18,35.681321122816925,27.915025278128816,40.6104857358728,29.153957760304486,6.830779449435352e-08,12.13766475268173
AZT1D,18,28.906680709269605,20.490414401549547,29.594383042435346,20.754030461772036,1.7277755916268404e-16,2.3237596545927195
D1namo,24,41.11124867837138,32.70103720624525,46.92716178654171,35.036189085544734,1.8814822871805446e-06,12.393490010380896
AZT1D,24,31.22054228156909,22.517248614679342,31.81728092192129,22.89242548248689,2.707846526577698e-10,1.8755174014290525
