dataset,prediction_horizon_minutes,prediction_horizon,feature,importance_percentage
D1namo,30,6,complex_sugars,0.5367983870672561
D1namo,30,6,dietary_fibers,0.12570756267831937
D1namo,30,6,fats,3.2902136413864214
D1namo,30,6,glucose,13.880777709853206
D1namo,30,6,glucose_change,51.8950512854897
D1namo,30,6,glucose_change_projected,10.475239553750413
D1namo,30,6,glucose_projected,10.656013808495242
D1namo,30,6,insulin,0.7782899271961506
D1namo,30,6,proteins,2.07959064565331
D1namo,30,6,simple_sugars,0.1911590094677306
D1namo,30,6,time,6.091158468962254
D1namo,45,9,complex_sugars,1.189654234280678
D1namo,45,9,dietary_fibers,0.31618769371563216
D1namo,45,9,fats,4.288425680011399
D1namo,45,9,glucose,20.93128255137034
D1namo,45,9,glucose_change,38.74963794109259
D1namo,45,9,glucose_change_projected,8.526927816209382
D1namo,45,9,glucose_projected,10.669157463199488
D1namo,45,9,insulin,1.7224318674808614
D1namo,45,9,proteins,3.5727410571054072
D1namo,45,9,simple_sugars,0.29889158757214684
D1namo,45,9,time,9.734662107962082
D1namo,60,12,complex_sugars,1.1499250042000992
D1namo,60,12,dietary_fibers,0.28746271873793444
D1namo,60,12,fats,4.599794889692861
D1namo,60,12,glucose,26.567503132177272
D1namo,60,12,glucose_change,30.789543306019123
D1namo,60,12,glucose_change_projected,8.494539610933515
D1namo,60,12,glucose_projected,9.164172458601687
D1namo,60,12,insulin,2.1426042581949987
D1namo,60,12,proteins,5.025837330435206
D1namo,60,12,simple_sugars,0.1997107758826617
D1namo,60,12,time,11.578906515124638
D1namo,90,18,complex_sugars,2.447063128826099
D1namo,90,18,dietary_fibers,0.08100692638124006
D1namo,90,18,fats,5.720769155696509
D1namo,90,18,glucose,36.36977554439572
D1namo,90,18,glucose_change,16.46028552435463
D1namo,90,18,glucose_change_projected,6.363781802785147
D1namo,90,18,glucose_projected,7.086753558072828
D1namo,90,18,insulin,4.350246702558408
D1namo,90,18,proteins,5.1821608848959055
D1namo,90,18,simple_sugars,0.20083612280979765
D1namo,90,18,time,15.737320649223713
D1namo,120,24,complex_sugars,3.9278362737838934
D1namo,120,24,dietary_fibers,0.7239117582062735
D1namo,120,24,fats,4.836292637387355
D1namo,120,24,glucose,42.54358259241131
D1namo,120,24,glucose_change,8.93727661009087
D1namo,120,24,glucose_change_projected,5.070417696693418
D1namo,120,24,glucose_projected,4.788710698740098
D1namo,120,24,insulin,4.891744317726199
D1namo,120,24,proteins,5.864881752613985
D1namo,120,24,simple_sugars,0.3281255994569684
D1namo,120,24,time,18.087220062889635
AZT1D,30,6,carbohydrates,1.3927110396515863
AZT1D,30,6,correction,0.8336366881890491
AZT1D,30,6,glucose,32.43303052323221
AZT1D,30,6,glucose_change,50.298764274147736
AZT1D,30,6,glucose_change_projected,2.0030320535848185
AZT1D,30,6,glucose_projected,3.2875924221457202
AZT1D,30,6,insulin,2.942699796454544
AZT1D,30,6,time,6.8085332025943375
AZT1D,45,9,carbohydrates,1.0282559396852917
AZT1D,45,9,correction,1.1570262386385386
AZT1D,45,9,glucose,44.46508057421008
AZT1D,45,9,glucose_change,38.85763466369024
AZT1D,45,9,glucose_change_projected,1.3417442750849253
AZT1D,45,9,glucose_projected,2.2143132346689107
AZT1D,45,9,insulin,2.441389349076402
AZT1D,45,9,time,8.494555724945606
AZT1D,60,12,carbohydrates,1.2302036310644797
AZT1D,60,12,correction,1.0820220070729163
AZT1D,60,12,glucose,54.614341702554036
AZT1D,60,12,glucose_change,27.973302040709513
AZT1D,60,12,glucose_change_projected,0.7886961288734639
AZT1D,60,12,glucose_projected,1.9171454221819615
AZT1D,60,12,insulin,2.6482571757308606
AZT1D,60,12,time,9.746031891812772
AZT1D,90,18,carbohydrates,1.0497512938692284
AZT1D,90,18,correction,0.9485875889516828
AZT1D,90,18,glucose,71.15302262965736
AZT1D,90,18,glucose_change,13.118326398857333
AZT1D,90,18,glucose_change_projected,0.5845487565402586
AZT1D,90,18,glucose_projected,0.923214385009915
AZT1D,90,18,insulin,1.8976217589563373
AZT1D,90,18,time,10.324927188157881
AZT1D,120,24,carbohydrates,0.7075234963090129
AZT1D,120,24,correction,0.9456530373483247
AZT1D,120,24,glucose,80.1211308918834
AZT1D,120,24,glucose_change,5.975131804965218
AZT1D,120,24,glucose_change_projected,0.3792987583295393
AZT1D,120,24,glucose_projected,0.38592432984678904
AZT1D,120,24,insulin,1.3406881141315563
AZT1D,120,24,time,10.144649567186157
